Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
6/27/2017 12:20:31:369,1,305.869,381.205,381.893,383.943,368.946,1297.0734,3840.0642,14.535431,1467.781,410.058,303.663,345.938,339.104,1290.7315,4736.1782,2942.6993,1418.0344,527227.801270784,1723.70459664361,7.1850637990256,6.834,1.12342126821213,607986.860563025,1482.68503617299,6.66382619184099,746199.749602606,2457.32851747696,8.5788844682148,4921.2492187408,16.0894017332283,47346.2712177896,7.22110166795562,4354.57256007248,10.6194064256093,40779.2024402321,7.2899838416923,4333.52014821965,14.2708204431217,67589.1486788271,9.38524663766138
6/27/2017 12:20:32:542,2,305.692,381.205,381.884,383.958,368.984,1293.9602,3847.3577,14.680493,1467.781,410.084,303.699,345.964,339.138,1299.5088,4771.0953,2920.7036,1419.63,523286.948548111,1711.81106652484,7.16023248673121,6.82600000000002,1.11822821457034,607679.575456584,1481.8417091537,6.66193078456294,756812.805235933,2491.98319795565,8.63916490186755,4921.2492187408,16.0987177248367,47019.5828143145,7.19614581013138,4344.23805959467,10.59353220217,40757.1076882166,7.28800866563431,4362.65705270504,14.365068876437,68537.1126005448,9.45083332368929
6/27/2017 12:20:33:407,3,305.711,381.255,381.906,383.992,368.996,1296.1009,3903.7169,14.461943,1467.6208,410.045,303.424,346.004,339.171,1320.6731,4606.2524,2972.5182,1418.8941,532512.16814124,1741.88095338813,7.22284747692312,6.83300000000003,1.12916368689178,617601.415181279,1506.17960268087,6.71641603534388,742564.561638206,2447.2835426275,8.56133229235328,4920.71742284701,16.0959776483247,47845.5865064385,7.25907878800529,4351.34427351374,10.6118700959986,41425.7366343543,7.3475461372663,4432.91353107538,14.6096338162946,67295.6608294283,9.36484800461381
6/27/2017 12:20:34:276,4,305.727,381.295,381.909,384.002,369.002,1301.3222,3729.4296,14.047807,1467.2684,409.978,303.324,346.034,339.204,1273.8872,5399.5892,3125.5059,1416.5616,559784.724154865,1830.99537873614,7.40530299797324,6.82999999999998,1.157179083395,592404.580201257,1444.96675480454,6.57851904683671,839620.143582729,2768.06366651742,9.10515296559647,4919.54760466366,16.091308928108,50293.4809935241,7.44245841482729,4368.67676976994,10.6558809735399,39740.3579167965,7.19652915235868,4277.60423327733,14.1024258986342,76147.3065760658,9.96172331491869
6/27/2017 12:20:35:140,5,305.727,381.255,381.94,384.02,369.03,1307.5487,3539.418,13.7462,1466.8519,410.052,303.343,346.067,339.23,1275.6857,5147.0535,3142.612,1416.3159,562688.692260767,1840.49394479639,7.42448621707173,6.83699999999999,1.16136577543654,564912.108859408,1377.6596842825,6.42347715045824,801481.542209924,2642.16264166282,8.89567653517868,4918.16500173131,16.0867865832305,50554.5285578991,7.46174840093066,4389.34610268305,10.7043645749394,37887.2206551029,7.02673500496046,4283.57448867671,14.1212241214622,72682.6960386565,9.73246198577408
6/27/2017 12:20:36:007,6,305.73,381.258,381.918,384.061,368.999,1317.3648,3630.0194,13.275038,1466.4674,410.104,303.343,346.101,339.271,1277.986,5116.1948,3049.2547,1416.1931,545829.834765077,1785.33292370745,7.31238107278004,6.82999999999998,1.14265877163304,583722.127152766,1423.35146000226,6.52912952839911,798112.887622381,2631.05754087742,8.87696243269866,4916.88862519472,16.0824538815122,49039.4980857342,7.34909018831254,4421.9313815409,10.7824634276693,39140.5514222301,7.14201358294456,4291.21050674465,14.1463970051877,72375.7227966769,9.71188785488472
6/27/2017 12:20:36:869,7,305.737,381.327,381.968,384.095,369.071,1332.9114,4050.4405,13.209587,1465.9548,410.186,303.487,346.131,339.296,1281.218,4983.8365,3012.5978,1416.0703,539079.590649641,1763.21345028453,7.26694133026851,6.83499999999998,1.13638949700178,659014.081822183,1606.62256103861,6.9367515440111,779431.53577569,2568.25345328034,8.77037471930836,4915.18701111758,16.0765200519322,48432.0889401067,7.30343501589704,4473.53948417753,10.9061242562582,44174.6073855806,7.58740997251121,4301.93937271674,14.1750367321063,70646.065454312,9.59513725596012
6/27/2017 12:20:37:735,8,305.74,381.407,382.027,384.151,369.114,1291.3495,4202.0913,14.443571,1465.5383,410.316,303.878,346.16,339.33,1286.7567,4819.8128,2952.9636,1415.4562,528258.412306847,1727.80274843608,7.19360006477327,6.83000000000004,1.12409762727371,662369.670855989,1614.29159685703,6.9532877437624,757038.147620637,2491.2568452492,8.63790575651332,4913.80440818523,16.0718401523688,47459.5589549634,7.22973564774981,4335.57164548783,10.5664211132099,44401.0662319556,7.60683334404973,4320.32550203591,14.2173026742177,68524.7374106685,9.44998005505606
6/27/2017 12:20:38:602,9,305.727,381.457,382.052,384.232,369.208,1292.1849,3895.0499,14.737906,1467.781,410.465,304.285,346.201,339.363,1293.4683,4663.9055,2927.0601,1417.7887,524425.80888589,1715.34018547884,7.16760955716282,6.83800000000002,1.12134815968085,614368.362297494,1496.76187323522,6.69538515169996,736371.017955068,2420.0043313179,8.51348314429919,4921.2492187408,16.0968747239884,47116.5197392849,7.20355988147276,4338.34481833222,10.5693416450421,41168.1131175872,7.32466358926953,4342.6051607173,14.2715058603523,66560.9546753793,9.3135869428755
6/27/2017 12:20:39:467,10,305.75,381.488,382.123,384.235,369.242,1293.0072,4015.6306,14.349411,1467.8772,410.17,303.367,346.238,339.4,1305.5362,4566.4642,2915.8178,1417.4203,522445.825153266,1708.73532347757,7.15379692347368,6.83800000000002,1.11918722007552,633790.687510611,1545.19025650489,6.80283894577416,727712.996411435,2398.78759526064,8.47608115082848,4921.56856184306,16.0967082971155,46935.068574137,7.1896756301226,4341.07450474585,10.5835982757048,42499.8210940275,7.44218999004645,4382.66545826201,14.4467442347454,65970.5403545212,9.27218786993747
